"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1982,39.854,12881816,978.0114388
"Afghanistan","Asia",1987,40.822,13867957,852.3959448
"Afghanistan","Asia",1992,41.674,16317921,649.3413952
"Afghanistan","Asia",1997,41.763,22227415,635.341351
"Afghanistan","Asia",2002,42.129,25268405,726.7340548
"Afghanistan","Asia",2007,43.828,31889923,974.5803384
"Albania","Europe",1982,70.42,2780097,3630.880722
"Albania","Europe",1987,72,3075321,3738.932735
"Albania","Europe",1992,71.581,3326498,2497.437901
"Albania","Europe",1997,72.95,3428038,3193.054604
"Albania","Europe",2002,75.651,3508512,4604.211737
"Albania","Europe",2007,76.423,3600523,5937.029526
"Algeria","Africa",1982,61.368,20033753,5745.160213
"Algeria","Africa",1987,65.799,23254956,5681.358539
"Algeria","Africa",1992,67.744,26298373,5023.216647
"Algeria","Africa",1997,69.152,29072015,4797.295051
"Algeria","Africa",2002,70.994,31287142,5288.040382
"Algeria","Africa",2007,72.301,33333216,6223.367465
"Angola","Africa",1982,39.942,7016384,2756.953672
"Angola","Africa",1987,39.906,7874230,2430.208311
"Angola","Africa",1992,40.647,8735988,2627.845685
"Angola","Africa",1997,40.963,9875024,2277.140884
"Angola","Africa",2002,41.003,10866106,2773.287312
"Angola","Africa",2007,42.731,12420476,4797.231267
"Argentina","Americas",1982,69.942,29341374,8997.897412
"Argentina","Americas",1987,70.774,31620918,9139.671389
"Argentina","Americas",1992,71.868,33958947,9308.41871
"Argentina","Americas",1997,73.275,36203463,10967.28195
"Argentina","Americas",2002,74.34,38331121,8797.640716
"Argentina","Americas",2007,75.32,40301927,12779.37964
"Australia","Oceania",1982,74.74,15184200,19477.00928
"Australia","Oceania",1987,76.32,16257249,21888.88903
"Australia","Oceania",1992,77.56,17481977,23424.76683
"Australia","Oceania",1997,78.83,18565243,26997.93657
"Australia","Oceania",2002,80.37,19546792,30687.75473
"Australia","Oceania",2007,81.235,20434176,34435.36744
"Austria","Europe",1982,73.18,7574613,21597.08362
"Austria","Europe",1987,74.94,7578903,23687.82607
"Austria","Europe",1992,76.04,7914969,27042.01868
"Austria","Europe",1997,77.51,8069876,29095.92066
"Austria","Europe",2002,78.98,8148312,32417.60769
"Austria","Europe",2007,79.829,8199783,36126.4927
"Bahrain","Asia",1982,69.052,377967,19211.14731
"Bahrain","Asia",1987,70.75,454612,18524.02406
"Bahrain","Asia",1992,72.601,529491,19035.57917
"Bahrain","Asia",1997,73.925,598561,20292.01679
"Bahrain","Asia",2002,74.795,656397,23403.55927
"Bahrain","Asia",2007,75.635,708573,29796.04834
"Bangladesh","Asia",1982,50.009,93074406,676.9818656
"Bangladesh","Asia",1987,52.819,103764241,751.9794035
"Bangladesh","Asia",1992,56.018,113704579,837.8101643
"Bangladesh","Asia",1997,59.412,123315288,972.7700352
"Bangladesh","Asia",2002,62.013,135656790,1136.39043
"Bangladesh","Asia",2007,64.062,150448339,1391.253792
"Belgium","Europe",1982,73.93,9856303,20979.84589
"Belgium","Europe",1987,75.35,9870200,22525.56308
"Belgium","Europe",1992,76.46,10045622,25575.57069
"Belgium","Europe",1997,77.53,10199787,27561.19663
"Belgium","Europe",2002,78.32,10311970,30485.88375
"Belgium","Europe",2007,79.441,10392226,33692.60508
"Benin","Africa",1982,50.904,3641603,1277.897616
"Benin","Africa",1987,52.337,4243788,1225.85601
"Benin","Africa",1992,53.919,4981671,1191.207681
"Benin","Africa",1997,54.777,6066080,1232.975292
"Benin","Africa",2002,54.406,7026113,1372.877931
"Benin","Africa",2007,56.728,8078314,1441.284873
"Bolivia","Americas",1982,53.859,5642224,3156.510452
"Bolivia","Americas",1987,57.251,6156369,2753.69149
"Bolivia","Americas",1992,59.957,6893451,2961.699694
"Bolivia","Americas",1997,62.05,7693188,3326.143191
"Bolivia","Americas",2002,63.883,8445134,3413.26269
"Bolivia","Americas",2007,65.554,9119152,3822.137084
"Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157
"Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757
"Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445
"Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904
"Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239
"Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803
"Botswana","Africa",1982,61.484,970347,4551.14215
"Botswana","Africa",1987,63.622,1151184,6205.88385
"Botswana","Africa",1992,62.745,1342614,7954.111645
"Botswana","Africa",1997,52.556,1536536,8647.142313
"Botswana","Africa",2002,46.634,1630347,11003.60508
"Botswana","Africa",2007,50.728,1639131,12569.85177
"Brazil","Americas",1982,63.336,128962939,7030.835878
"Brazil","Americas",1987,65.205,142938076,7807.095818
"Brazil","Americas",1992,67.057,155975974,6950.283021
"Brazil","Americas",1997,69.388,168546719,7957.980824
"Brazil","Americas",2002,71.006,179914212,8131.212843
"Brazil","Americas",2007,72.39,190010647,9065.800825
"Bulgaria","Europe",1982,71.08,8892098,8224.191647
"Bulgaria","Europe",1987,71.34,8971958,8239.854824
"Bulgaria","Europe",1992,71.19,8658506,6302.623438
"Bulgaria","Europe",1997,70.32,8066057,5970.38876
"Bulgaria","Europe",2002,72.14,7661799,7696.777725
"Bulgaria","Europe",2007,73.005,7322858,10680.79282
"Burkina Faso","Africa",1982,48.122,6634596,807.1985855
"Burkina Faso","Africa",1987,49.557,7586551,912.0631417
"Burkina Faso","Africa",1992,50.26,8878303,931.7527731
"Burkina Faso","Africa",1997,50.324,10352843,946.2949618
"Burkina Faso","Africa",2002,50.65,12251209,1037.645221
"Burkina Faso","Africa",2007,52.295,14326203,1217.032994
"Burundi","Africa",1982,47.471,4580410,559.603231
"Burundi","Africa",1987,48.211,5126023,621.8188189
"Burundi","Africa",1992,44.736,5809236,631.6998778
"Burundi","Africa",1997,45.326,6121610,463.1151478
"Burundi","Africa",2002,47.36,7021078,446.4035126
"Burundi","Africa",2007,49.58,8390505,430.0706916
"Cambodia","Asia",1982,50.957,7272485,624.4754784
"Cambodia","Asia",1987,53.914,8371791,683.8955732
"Cambodia","Asia",1992,55.803,10150094,682.3031755
"Cambodia","Asia",1997,56.534,11782962,734.28517
"Cambodia","Asia",2002,56.752,12926707,896.2260153
"Cambodia","Asia",2007,59.723,14131858,1713.778686
"Cameroon","Africa",1982,52.961,9250831,2367.983282
"Cameroon","Africa",1987,54.985,10780667,2602.664206
"Cameroon","Africa",1992,54.314,12467171,1793.163278
"Cameroon","Africa",1997,52.199,14195809,1694.337469
"Cameroon","Africa",2002,49.856,15929988,1934.011449
"Cameroon","Africa",2007,50.43,17696293,2042.09524
"Canada","Americas",1982,75.76,25201900,22898.79214
"Canada","Americas",1987,76.86,26549700,26626.51503
"Canada","Americas",1992,77.95,28523502,26342.88426
"Canada","Americas",1997,78.61,30305843,28954.92589
"Canada","Americas",2002,79.77,31902268,33328.96507
"Canada","Americas",2007,80.653,33390141,36319.23501
"Central African Republic","Africa",1982,48.295,2476971,956.7529907
"Central African Republic","Africa",1987,50.485,2840009,844.8763504
"Central African Republic","Africa",1992,49.396,3265124,747.9055252
"Central African Republic","Africa",1997,46.066,3696513,740.5063317
"Central African Republic","Africa",2002,43.308,4048013,738.6906068
"Central African Republic","Africa",2007,44.741,4369038,706.016537
"Chad","Africa",1982,49.517,4875118,797.9081006
"Chad","Africa",1987,51.051,5498955,952.386129
"Chad","Africa",1992,51.724,6429417,1058.0643
"Chad","Africa",1997,51.573,7562011,1004.961353
"Chad","Africa",2002,50.525,8835739,1156.18186
"Chad","Africa",2007,50.651,10238807,1704.063724
"Chile","Americas",1982,70.565,11487112,5095.665738
"Chile","Americas",1987,72.492,12463354,5547.063754
"Chile","Americas",1992,74.126,13572994,7596.125964
"Chile","Americas",1997,75.816,14599929,10118.05318
"Chile","Americas",2002,77.86,15497046,10778.78385
"Chile","Americas",2007,78.553,16284741,13171.63885
"China","Asia",1982,65.525,1000281000,962.4213805
"China","Asia",1987,67.274,1084035000,1378.904018
"China","Asia",1992,68.69,1164970000,1655.784158
"China","Asia",1997,70.426,1230075000,2289.234136
"China","Asia",2002,72.028,1280400000,3119.280896
"China","Asia",2007,72.961,1318683096,4959.114854
"Colombia","Americas",1982,66.653,27764644,4397.575659
"Colombia","Americas",1987,67.768,30964245,4903.2191
"Colombia","Americas",1992,68.421,34202721,5444.648617
"Colombia","Americas",1997,70.313,37657830,6117.361746
"Colombia","Americas",2002,71.682,41008227,5755.259962
"Colombia","Americas",2007,72.889,44227550,7006.580419
"Comoros","Africa",1982,52.933,348643,1267.100083
"Comoros","Africa",1987,54.926,395114,1315.980812
"Comoros","Africa",1992,57.939,454429,1246.90737
"Comoros","Africa",1997,60.66,527982,1173.618235
"Comoros","Africa",2002,62.974,614382,1075.811558
"Comoros","Africa",2007,65.152,710960,986.1478792
"Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181
"Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812
"Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807
